"","n","k","Largos","distri"
"1248",40,15,14,1
"1249",40,15,19,1
"1250",40,15,18,1
"1251",40,15,9,1
"1252",40,15,10,1
"1253",40,15,47,1
"1254",40,15,10,1
"1255",40,15,20,1
"1256",40,15,35,1
"1257",40,15,20,1
"1258",40,15,9,1
"1259",40,15,15,1
"1260",40,15,4,1
"1261",40,15,7,1
"1262",40,15,9,1
"1263",40,15,8,1
"1264",40,15,33,1
"1265",40,15,75,1
"1266",40,15,21,1
"1267",40,15,6,1
"1268",40,15,121,1
"1269",40,15,17,1
"1270",40,15,12,1
"1271",40,15,120,1
"1272",40,15,32,1
"1273",40,15,49,1
"1274",40,15,30,1
"1275",40,15,11,1
"1276",40,15,33,1
"1277",40,15,9,1
"1278",40,15,11,1
"1279",40,15,70,1
"1280",40,15,15,1
"1281",40,15,4,1
"1282",40,15,176,1
"1283",40,15,97,1
"1284",40,15,14,1
"1285",40,15,11,1
"1286",40,15,8,1
"1287",40,15,6,1
"1288",40,15,84,1
"1289",40,15,35,1
"1290",40,15,8,1
"1291",40,15,10,1
"1292",40,15,42,1
"1293",40,15,6,1
"1294",40,15,40,1
"1295",40,15,14,1
"1296",40,15,42,1
"1297",40,15,12,1
"1298",40,15,30,1
"1299",40,15,16,1
"1300",40,15,27,1
"1301",40,15,5,1
"1302",40,15,7,1
"1303",40,15,20,1
"1304",40,15,7,1
"1305",40,15,47,1
"1306",40,15,26,1
"1307",40,15,20,1
"1308",40,15,6,1
"1309",40,15,11,1
"1310",40,15,39,1
"1311",40,15,12,1
"1312",40,15,2,1
"1313",40,15,19,1
"1314",40,15,34,1
"1315",40,15,10,1
"1316",40,15,101,1
"1317",40,15,24,1
"1318",40,15,26,1
"1319",40,15,22,1
"1320",40,15,10,1
"1321",40,15,6,1
"1322",40,15,11,1
"1323",40,15,10,1
"1324",40,15,225,1
"1325",40,15,34,1
"1326",40,15,16,1
"1327",40,15,19,1
"1328",40,15,11,1
"1329",40,15,28,1
"1330",40,15,9,1
"1331",40,15,10,1
"1332",40,15,28,1
"1333",40,15,10,1
"1334",40,15,97,1
"1335",40,15,27,1
"1336",40,15,25,1
"1337",40,15,4,1
"1338",40,15,10,1
"1339",40,15,15,1
"1340",40,15,201,1
"1341",40,15,15,1
"1342",40,15,10,1
"1343",40,15,9,1
"1344",40,15,36,1
"1345",40,15,19,1
"1346",40,15,3,1
"1347",40,15,17,1
"1348",40,15,11,1
"1349",40,15,2,1
"1350",40,15,13,1
"1351",40,15,9,1
"1352",40,15,4,1
"1353",40,15,20,1
"1354",40,15,61,1
"1355",40,15,21,1
"1356",40,15,25,1
"1357",40,15,7,1
"1358",40,15,24,1
"1359",40,15,132,1
"1360",40,15,12,1
"1361",40,15,28,1
"1362",40,15,12,1
"1363",40,15,9,1
"1364",40,15,9,1
"1365",40,15,7,1
"1366",40,15,29,1
"1367",40,15,13,1
"1368",40,15,87,1
"1369",40,15,44,1
"1370",40,15,33,1
"1371",40,15,12,1
"1372",40,15,22,1
"1373",40,15,11,1
"1374",40,15,15,1
"1375",40,15,5,1
"1376",40,15,33,1
"1377",40,15,31,1
"1378",40,15,49,1
"1379",40,15,41,1
"1380",40,15,19,1
"1381",40,15,25,1
"1382",40,15,3,1
"1383",40,15,10,1
"1384",40,15,18,1
"1385",40,15,21,1
"1386",40,15,10,1
"1387",40,15,22,1
"1388",40,15,11,1
"1389",40,15,20,1
"1390",40,15,35,1
"1391",40,15,18,1
"1392",40,15,14,1
"1393",40,15,9,1
"1394",40,15,11,1
"1395",40,15,18,1
"1396",40,15,17,1
"1397",40,15,48,1
"1398",40,15,21,1
"1399",40,15,7,1
"1400",40,15,22,1
"1401",50,15,77,1
"1402",50,15,36,1
"1403",50,15,19,1
"1404",50,15,12,1
"1405",50,15,5,1
"1406",50,15,70,1
"1407",50,15,26,1
"1408",50,15,18,1
"1409",50,15,85,1
"1410",50,15,9,1
"1411",50,15,36,1
"1412",50,15,18,1
"1413",50,15,8,1
"1414",50,15,12,1
"1415",50,15,12,1
"1416",50,15,8,1
"1417",50,15,18,1
"1418",50,15,14,1
"1419",50,15,4,1
"1420",50,15,19,1
"1421",50,15,6,1
"1422",50,15,42,1
"1423",50,15,17,1
"1424",50,15,16,1
"1425",50,15,6,1
"1426",50,15,15,1
"1427",50,15,31,1
"1428",50,15,14,1
"1429",50,15,11,1
"1430",50,15,21,1
"1431",50,15,18,1
"1432",50,15,16,1
"1433",50,15,11,1
"1434",50,15,20,1
"1435",50,15,9,1
"1436",50,15,10,1
"1437",50,15,9,1
"1438",50,15,6,1
"1439",50,15,9,1
"1440",50,15,15,1
"1441",50,15,10,1
"1442",50,15,13,1
"1443",50,15,20,1
"1444",50,15,4,1
"1445",50,15,10,1
"1446",50,15,19,1
"1447",50,15,14,1
"1448",50,15,16,1
"1449",50,15,19,1
"1450",50,15,24,1
"1451",50,15,117,1
"1452",50,15,17,1
"1453",50,15,19,1
"1454",50,15,8,1
"1455",50,15,8,1
"1456",50,15,60,1
"1457",50,15,32,1
"1458",50,15,21,1
"1459",50,15,9,1
"1460",50,15,12,1
"1461",50,15,8,1
"1462",50,15,9,1
"1463",50,15,14,1
"1464",50,15,23,1
"1465",50,15,33,1
"1466",50,15,25,1
"1467",50,15,19,1
"1468",50,15,22,1
"1469",50,15,16,1
"1470",50,15,14,1
"1471",50,15,8,1
"1472",50,15,11,1
"1473",50,15,27,1
"1474",50,15,25,1
"1475",50,15,11,1
"1476",50,15,10,1
"1477",50,15,12,1
"1478",50,15,53,1
"1479",50,15,16,1
"1480",50,15,7,1
"1481",50,15,15,1
"1482",50,15,11,1
"1483",50,15,12,1
"1484",50,15,13,1
"1485",50,15,13,1
"1486",50,15,21,1
"1487",50,15,12,1
"1488",50,15,24,1
"1489",50,15,46,1
"1490",50,15,28,1
"1491",50,15,20,1
"1492",50,15,7,1
"1493",50,15,34,1
"1494",50,15,28,1
"1495",50,15,19,1
"1496",50,15,18,1
"1497",50,15,3,1
"1498",50,15,17,1
"1499",50,15,31,1
"1500",50,15,11,1
"1501",50,15,17,1
"1502",50,15,14,1
"1503",50,15,15,1
"1504",50,15,9,1
"1505",50,15,16,1
"1506",50,15,8,1
"1507",50,15,27,1
"1508",50,15,15,1
"1509",50,15,49,1
"1510",50,15,5,1
"1511",50,15,5,1
"1512",50,15,11,1
"1513",50,15,10,1
"1514",50,15,21,1
"1515",50,15,14,1
"1516",50,15,18,1
"1517",50,15,15,1
"1518",50,15,45,1
"1519",50,15,8,1
"1520",50,15,9,1
"1521",50,15,28,1
"1522",50,15,31,1
"1523",50,15,27,1
"1524",50,15,4,1
"1525",50,15,20,1
"1526",50,15,7,1
"1527",50,15,25,1
"1528",50,15,21,1
"1529",50,15,15,1
"1530",50,15,9,1
"1531",50,15,8,1
"1532",50,15,12,1
"1533",50,15,6,1
"1534",50,15,8,1
"1535",50,15,29,1
"1536",50,15,11,1
"1537",50,15,14,1
"1538",50,15,15,1
"1539",50,15,4,1
"1540",50,15,42,1
"1541",50,15,12,1
"1542",50,15,17,1
"1543",50,15,23,1
"1544",50,15,12,1
"1545",50,15,24,1
"1546",50,15,11,1
"1547",50,15,12,1
"1548",50,15,9,1
"1549",50,15,12,1
"1550",50,15,16,1
"1551",50,15,15,1
"1552",50,15,7,1
"1553",50,15,5,1
"1554",50,15,9,1
"1555",50,15,6,1
"1556",50,15,9,1
"1557",50,15,12,1
"1558",50,15,13,1
"1559",50,15,18,1
"1560",50,15,11,1
"1561",50,15,5,1
"1562",50,15,8,1
"1563",50,15,50,1
"1564",50,15,14,1
"1565",50,15,30,1
"1566",50,15,7,1
"1567",50,15,15,1
"1568",50,15,14,1
"1569",50,15,17,1
"1570",50,15,22,1
"1571",50,15,2,1
"1572",50,15,45,1
"1573",50,15,10,1
"1574",50,15,10,1
"1575",50,15,43,1
"1576",50,15,19,1
"1577",50,15,23,1
"1578",50,15,17,1
"1579",50,15,19,1
"1580",50,15,23,1
"1581",50,15,7,1
"1582",50,15,21,1
"1583",50,15,24,1
"1584",50,15,17,1
"1585",50,15,18,1
"1586",50,15,59,1
"1587",50,15,22,1
"1588",50,15,9,1
"1589",50,15,32,1
"1590",50,15,19,1
"1591",50,15,6,1
"1592",50,15,19,1
"1593",50,15,24,1
"1594",50,15,7,1
"1595",50,15,9,1
"1596",50,15,6,1
"1597",50,15,6,1
"1598",50,15,12,1
"1599",50,15,49,1
"1600",50,15,14,1
"1601",60,15,35,1
"1602",60,15,20,1
"1603",60,15,37,1
"1604",60,15,19,1
"1605",60,15,11,1
"1606",60,15,16,1
"1607",60,15,12,1
"1608",60,15,21,1
"1609",60,15,11,1
"1610",60,15,4,1
"1611",60,15,10,1
"1612",60,15,9,1
"1613",60,15,7,1
"1614",60,15,23,1
"1615",60,15,11,1
"1616",60,15,11,1
"1617",60,15,7,1
"1618",60,15,62,1
"1619",60,15,11,1
"1620",60,15,2,1
"1621",60,15,10,1
"1622",60,15,12,1
"1623",60,15,18,1
"1624",60,15,8,1
"1625",60,15,6,1
"1626",60,15,27,1
"1627",60,15,40,1
"1628",60,15,8,1
"1629",60,15,7,1
"1630",60,15,10,1
"1631",60,15,11,1
"1632",60,15,11,1
"1633",60,15,19,1
"1634",60,15,16,1
"1635",60,15,37,1
"1636",60,15,6,1
"1637",60,15,24,1
"1638",60,15,23,1
"1639",60,15,17,1
"1640",60,15,15,1
"1641",60,15,17,1
"1642",60,15,26,1
"1643",60,15,21,1
"1644",60,15,15,1
"1645",60,15,12,1
"1646",60,15,11,1
"1647",60,15,13,1
"1648",60,15,20,1
"1649",60,15,17,1
"1650",60,15,13,1
"1651",60,15,13,1
"1652",60,15,23,1
"1653",60,15,10,1
"1654",60,15,10,1
"1655",60,15,6,1
"1656",60,15,10,1
"1657",60,15,25,1
"1658",60,15,39,1
"1659",60,15,6,1
"1660",60,15,17,1
"1661",60,15,15,1
"1662",60,15,11,1
"1663",60,15,12,1
"1664",60,15,14,1
"1665",60,15,13,1
"1666",60,15,22,1
"1667",60,15,16,1
"1668",60,15,19,1
"1669",60,15,20,1
"1670",60,15,21,1
"1671",60,15,20,1
"1672",60,15,22,1
"1673",60,15,18,1
"1674",60,15,11,1
"1675",60,15,15,1
"1676",60,15,11,1
"1677",60,15,5,1
"1678",60,15,7,1
"1679",60,15,14,1
"1680",60,15,75,1
"1681",60,15,31,1
"1682",60,15,12,1
"1683",60,15,11,1
"1684",60,15,5,1
"1685",60,15,47,1
"1686",60,15,19,1
"1687",60,15,21,1
"1688",60,15,7,1
"1689",60,15,9,1
"1690",60,15,12,1
"1691",60,15,26,1
"1692",60,15,8,1
"1693",60,15,11,1
"1694",60,15,24,1
"1695",60,15,7,1
"1696",60,15,11,1
"1697",60,15,21,1
"1698",60,15,17,1
"1699",60,15,17,1
"1700",60,15,17,1
"1701",60,15,21,1
"1702",60,15,13,1
"1703",60,15,31,1
"1704",60,15,65,1
"1705",60,15,20,1
"1706",60,15,7,1
"1707",60,15,21,1
"1708",60,15,11,1
"1709",60,15,15,1
"1710",60,15,46,1
"1711",60,15,19,1
"1712",60,15,38,1
"1713",60,15,11,1
"1714",60,15,18,1
"1715",60,15,21,1
"1716",60,15,15,1
"1717",60,15,17,1
"1718",60,15,11,1
"1719",60,15,27,1
"1720",60,15,14,1
"1721",60,15,15,1
"1722",60,15,14,1
"1723",60,15,17,1
"1724",60,15,9,1
"1725",60,15,7,1
"1726",60,15,12,1
"1727",60,15,27,1
"1728",60,15,24,1
"1729",60,15,22,1
"1730",60,15,60,1
"1731",60,15,10,1
"1732",60,15,11,1
"1733",60,15,9,1
"1734",60,15,18,1
"1735",60,15,19,1
"1736",60,15,13,1
"1737",60,15,76,1
"1738",60,15,26,1
"1739",60,15,10,1
"1740",60,15,13,1
"1741",60,15,7,1
"1742",60,15,5,1
"1743",60,15,2,1
"1744",60,15,6,1
"1745",60,15,9,1
"1746",60,15,5,1
"1747",60,15,8,1
"1748",60,15,10,1
"1749",60,15,18,1
"1750",60,15,9,1
"1751",60,15,21,1
"1752",60,15,18,1
"1753",60,15,13,1
"1754",60,15,8,1
"1755",60,15,13,1
"1756",60,15,16,1
"1757",60,15,15,1
"1758",60,15,13,1
"1759",60,15,18,1
"1760",60,15,6,1
"1761",60,15,2,1
"1762",60,15,9,1
"1763",60,15,12,1
"1764",60,15,21,1
"1765",60,15,61,1
"1766",60,15,10,1
"1767",60,15,36,1
"1768",60,15,10,1
"1769",60,15,10,1
"1770",60,15,21,1
"1771",60,15,12,1
"1772",60,15,17,1
"1773",60,15,8,1
"1774",60,15,17,1
"1775",60,15,6,1
"1776",60,15,11,1
"1777",60,15,19,1
"1778",60,15,8,1
"1779",60,15,29,1
"1780",60,15,14,1
"1781",60,15,21,1
"1782",60,15,19,1
"1783",60,15,11,1
"1784",60,15,13,1
"1785",60,15,23,1
"1786",60,15,12,1
"1787",60,15,7,1
"1788",60,15,10,1
"1789",60,15,5,1
"1790",60,15,21,1
"1791",60,15,12,1
"1792",60,15,17,1
"1793",60,15,9,1
"1794",60,15,13,1
"1795",60,15,5,1
"1796",60,15,13,1
"1797",60,15,15,1
"1798",60,15,7,1
"1799",60,15,31,1
"1800",60,15,11,1
"1801",70,15,9,1
"1802",70,15,9,1
"1803",70,15,24,1
"1804",70,15,5,1
"1805",70,15,27,1
"1806",70,15,12,1
"1807",70,15,3,1
"1808",70,15,17,1
"1809",70,15,10,1
"1810",70,15,11,1
"1811",70,15,6,1
"1812",70,15,23,1
"1813",70,15,16,1
"1814",70,15,3,1
"1815",70,15,8,1
"1816",70,15,27,1
"1817",70,15,119,1
"1818",70,15,23,1
"1819",70,15,26,1
"1820",70,15,7,1
"1821",70,15,23,1
"1822",70,15,34,1
"1823",70,15,16,1
"1824",70,15,12,1
"1825",70,15,9,1
"1826",70,15,70,1
"1827",70,15,15,1
"1828",70,15,10,1
"1829",70,15,5,1
"1830",70,15,12,1
"1831",70,15,21,1
"1832",70,15,4,1
"1833",70,15,37,1
"1834",70,15,14,1
"1835",70,15,11,1
"1836",70,15,35,1
"1837",70,15,33,1
"1838",70,15,7,1
"1839",70,15,13,1
"1840",70,15,14,1
"1841",70,15,17,1
"1842",70,15,12,1
"1843",70,15,16,1
"1844",70,15,2,1
"1845",70,15,11,1
"1846",70,15,17,1
"1847",70,15,9,1
"1848",70,15,13,1
"1849",70,15,21,1
"1850",70,15,15,1
"1851",70,15,39,1
"1852",70,15,9,1
"1853",70,15,15,1
"1854",70,15,4,1
"1855",70,15,10,1
"1856",70,15,11,1
"1857",70,15,7,1
"1858",70,15,11,1
"1859",70,15,12,1
"1860",70,15,12,1
"1861",70,15,11,1
"1862",70,15,4,1
"1863",70,15,6,1
"1864",70,15,18,1
"1865",70,15,16,1
"1866",70,15,17,1
"1867",70,15,10,1
"1868",70,15,22,1
"1869",70,15,15,1
"1870",70,15,12,1
"1871",70,15,37,1
"1872",70,15,9,1
"1873",70,15,22,1
"1874",70,15,30,1
"1875",70,15,5,1
"1876",70,15,10,1
"1877",70,15,12,1
"1878",70,15,6,1
"1879",70,15,44,1
"1880",70,15,9,1
"1881",70,15,7,1
"1882",70,15,10,1
"1883",70,15,21,1
"1884",70,15,17,1
"1885",70,15,14,1
"1886",70,15,9,1
"1887",70,15,5,1
"1888",70,15,10,1
"1889",70,15,16,1
"1890",70,15,13,1
"1891",70,15,7,1
"1892",70,15,12,1
"1893",70,15,25,1
"1894",70,15,9,1
"1895",70,15,20,1
"1896",70,15,19,1
"1897",70,15,10,1
"1898",70,15,4,1
"1899",70,15,9,1
"1900",70,15,5,1
"1901",70,15,14,1
"1902",70,15,27,1
"1903",70,15,6,1
"1904",70,15,19,1
"1905",70,15,16,1
"1906",70,15,17,1
"1907",70,15,5,1
"1908",70,15,4,1
"1909",70,15,25,1
"1910",70,15,7,1
"1911",70,15,11,1
"1912",70,15,15,1
"1913",70,15,28,1
"1914",70,15,23,1
"1915",70,15,32,1
"1916",70,15,18,1
"1917",70,15,14,1
"1918",70,15,17,1
"1919",70,15,14,1
"1920",70,15,7,1
"1921",70,15,11,1
"1922",70,15,29,1
"1923",70,15,15,1
"1924",70,15,16,1
"1925",70,15,13,1
"1926",70,15,10,1
"1927",70,15,15,1
"1928",70,15,21,1
"1929",70,15,18,1
"1930",70,15,17,1
"1931",70,15,13,1
"1932",70,15,14,1
"1933",70,15,6,1
"1934",70,15,49,1
"1935",70,15,14,1
"1936",70,15,5,1
"1937",70,15,30,1
"1938",70,15,9,1
"1939",70,15,18,1
"1940",70,15,6,1
"1941",70,15,16,1
"1942",70,15,5,1
"1943",70,15,11,1
"1944",70,15,14,1
"1945",70,15,7,1
"1946",70,15,10,1
"1947",70,15,37,1
"1948",70,15,14,1
"1949",70,15,28,1
"1950",70,15,16,1
"1951",70,15,27,1
"1952",70,15,17,1
"1953",70,15,9,1
"1954",70,15,41,1
"1955",70,15,14,1
"1956",70,15,26,1
"1957",70,15,29,1
"1958",70,15,5,1
"1959",70,15,53,1
"1960",70,15,64,1
"1961",70,15,12,1
"1962",70,15,18,1
"1963",70,15,14,1
"1964",70,15,19,1
"1965",70,15,20,1
"1966",70,15,68,1
"1967",70,15,27,1
"1968",70,15,24,1
"1969",70,15,2,1
"1970",70,15,5,1
"1971",70,15,25,1
"1972",70,15,12,1
"1973",70,15,13,1
"1974",70,15,12,1
"1975",70,15,8,1
"1976",70,15,8,1
"1977",70,15,19,1
"1978",70,15,33,1
"1979",70,15,18,1
"1980",70,15,12,1
"1981",70,15,7,1
"1982",70,15,15,1
"1983",70,15,60,1
"1984",70,15,3,1
"1985",70,15,23,1
"1986",70,15,8,1
"1987",70,15,5,1
"1988",70,15,13,1
"1989",70,15,60,1
"1990",70,15,7,1
"1991",70,15,19,1
"1992",70,15,16,1
"1993",70,15,4,1
"1994",70,15,16,1
"1995",70,15,33,1
"1996",70,15,7,1
"1997",70,15,17,1
"1998",70,15,7,1
"1999",70,15,6,1
"2000",70,15,19,1
"2001",80,15,16,1
"2002",80,15,11,1
"2003",80,15,25,1
"2004",80,15,16,1
"2005",80,15,43,1
"2006",80,15,7,1
"2007",80,15,13,1
"2008",80,15,18,1
"2009",80,15,22,1
"2010",80,15,17,1
"2011",80,15,26,1
"2012",80,15,7,1
"2013",80,15,18,1
"2014",80,15,22,1
"2015",80,15,19,1
"2016",80,15,5,1
"2017",80,15,9,1
"2018",80,15,11,1
"2019",80,15,18,1
"2020",80,15,36,1
"2021",80,15,10,1
"2022",80,15,8,1
"2023",80,15,8,1
"2024",80,15,17,1
"2025",80,15,7,1
"2026",80,15,16,1
"2027",80,15,16,1
"2028",80,15,26,1
"2029",80,15,20,1
"2030",80,15,41,1
"2031",80,15,10,1
"2032",80,15,25,1
"2033",80,15,19,1
"2034",80,15,16,1
"2035",80,15,10,1
"2036",80,15,14,1
"2037",80,15,8,1
"2038",80,15,94,1
"2039",80,15,12,1
"2040",80,15,13,1
"2041",80,15,228,1
"2042",80,15,21,1
"2043",80,15,31,1
"2044",80,15,13,1
"2045",80,15,15,1
"2046",80,15,13,1
"2047",80,15,13,1
"2048",80,15,19,1
"2049",80,15,16,1
"2050",80,15,14,1
"2051",80,15,10,1
"2052",80,15,6,1
"2053",80,15,34,1
"2054",80,15,14,1
"2055",80,15,19,1
"2056",80,15,11,1
"2057",80,15,23,1
"2058",80,15,6,1
"2059",80,15,15,1
"2060",80,15,14,1
"2061",80,15,34,1
"2062",80,15,18,1
"2063",80,15,20,1
"2064",80,15,18,1
"2065",80,15,17,1
"2066",80,15,13,1
"2067",80,15,21,1
"2068",80,15,10,1
"2069",80,15,27,1
"2070",80,15,13,1
"2071",80,15,26,1
"2072",80,15,9,1
"2073",80,15,6,1
"2074",80,15,24,1
"2075",80,15,8,1
"2076",80,15,17,1
"2077",80,15,14,1
"2078",80,15,8,1
"2079",80,15,4,1
"2080",80,15,51,1
"2081",80,15,6,1
"2082",80,15,6,1
"2083",80,15,22,1
"2084",80,15,4,1
"2085",80,15,15,1
"2086",80,15,2,1
"2087",80,15,5,1
"2088",80,15,18,1
"2089",80,15,14,1
"2090",80,15,15,1
"2091",80,15,42,1
"2092",80,15,19,1
"2093",80,15,6,1
"2094",80,15,12,1
"2095",80,15,16,1
"2096",80,15,15,1
"2097",80,15,12,1
"2098",80,15,41,1
"2099",80,15,8,1
"2100",80,15,17,1
"2101",80,15,23,1
"2102",80,15,13,1
"2103",80,15,17,1
"2104",80,15,12,1
"2105",80,15,28,1
"2106",80,15,4,1
"2107",80,15,15,1
"2108",80,15,12,1
"2109",80,15,5,1
"2110",80,15,32,1
"2111",80,15,20,1
"2112",80,15,9,1
"2113",80,15,7,1
"2114",80,15,28,1
"2115",80,15,10,1
"2116",80,15,10,1
"2117",80,15,9,1
"2118",80,15,31,1
"2119",80,15,3,1
"2120",80,15,18,1
"2121",80,15,5,1
"2122",80,15,4,1
"2123",80,15,46,1
"2124",80,15,29,1
"2125",80,15,20,1
"2126",80,15,7,1
"2127",80,15,19,1
"2128",80,15,5,1
"2129",80,15,2,1
"2130",80,15,23,1
"2131",80,15,4,1
"2132",80,15,9,1
"2133",80,15,42,1
"2134",80,15,36,1
"2135",80,15,31,1
"2136",80,15,20,1
"2137",80,15,29,1
"2138",80,15,9,1
"2139",80,15,18,1
"2140",80,15,9,1
"2141",80,15,19,1
"2142",80,15,27,1
"2143",80,15,12,1
"2144",80,15,11,1
"2145",80,15,28,1
"2146",80,15,22,1
"2147",80,15,49,1
"2148",80,15,9,1
"2149",80,15,10,1
"2150",80,15,32,1
"2151",80,15,13,1
"2152",80,15,20,1
"2153",80,15,17,1
"2154",80,15,14,1
"2155",80,15,6,1
"2156",80,15,9,1
"2157",80,15,11,1
"2158",80,15,4,1
"2159",80,15,37,1
"2160",80,15,8,1
"2161",80,15,14,1
"2162",80,15,20,1
"2163",80,15,7,1
"2164",80,15,9,1
"2165",80,15,26,1
"2166",80,15,11,1
"2167",80,15,20,1
"2168",80,15,7,1
"2169",80,15,11,1
"2170",80,15,71,1
"2171",80,15,37,1
"2172",80,15,22,1
"2173",80,15,62,1
"2174",80,15,6,1
"2175",80,15,41,1
"2176",80,15,12,1
"2177",80,15,11,1
"2178",80,15,12,1
"2179",80,15,16,1
"2180",80,15,16,1
"2181",80,15,15,1
"2182",80,15,8,1
"2183",80,15,13,1
"2184",80,15,17,1
"2185",80,15,30,1
"2186",80,15,23,1
"2187",80,15,23,1
"2188",80,15,15,1
"2189",80,15,3,1
"2190",80,15,48,1
"2191",80,15,18,1
"2192",80,15,6,1
"2193",80,15,21,1
"2194",80,15,14,1
"2195",80,15,10,1
"2196",80,15,16,1
"2197",80,15,10,1
"2198",80,15,3,1
"2199",80,15,18,1
"2200",80,15,19,1
"2201",90,15,10,1
"2202",90,15,4,1
"2203",90,15,11,1
"2204",90,15,2,1
"2205",90,15,8,1
"2206",90,15,3,1
"2207",90,15,100,1
"2208",90,15,8,1
"2209",90,15,26,1
"2210",90,15,15,1
"2211",90,15,9,1
"2212",90,15,16,1
"2213",90,15,15,1
"2214",90,15,11,1
"2215",90,15,4,1
"2216",90,15,5,1
"2217",90,15,10,1
"2218",90,15,5,1
"2219",90,15,13,1
"2220",90,15,15,1
"2221",90,15,13,1
"2222",90,15,40,1
"2223",90,15,4,1
"2224",90,15,4,1
"2225",90,15,19,1
"2226",90,15,10,1
"2227",90,15,20,1
"2228",90,15,15,1
"2229",90,15,10,1
"2230",90,15,11,1
"2231",90,15,16,1
"2232",90,15,23,1
"2233",90,15,18,1
"2234",90,15,20,1
"2235",90,15,21,1
"2236",90,15,61,1
"2237",90,15,8,1
"2238",90,15,12,1
"2239",90,15,20,1
"2240",90,15,3,1
"2241",90,15,17,1
"2242",90,15,24,1
"2243",90,15,20,1
"2244",90,15,19,1
"2245",90,15,16,1
"2246",90,15,3,1
"2247",90,15,12,1
"2248",90,15,26,1
"2249",90,15,35,1
"2250",90,15,11,1
"2251",90,15,10,1
"2252",90,15,5,1
"2253",90,15,17,1
"2254",90,15,15,1
"2255",90,15,9,1
"2256",90,15,34,1
"2257",90,15,8,1
"2258",90,15,12,1
"2259",90,15,43,1
"2260",90,15,54,1
"2261",90,15,16,1
"2262",90,15,16,1
"2263",90,15,17,1
"2264",90,15,39,1
"2265",90,15,18,1
"2266",90,15,23,1
"2267",90,15,12,1
"2268",90,15,19,1
"2269",90,15,8,1
"2270",90,15,11,1
"2271",90,15,17,1
"2272",90,15,26,1
"2273",90,15,25,1
"2274",90,15,5,1
"2275",90,15,47,1
"2276",90,15,22,1
"2277",90,15,8,1
"2278",90,15,25,1
"2279",90,15,15,1
"2280",90,15,17,1
"2281",90,15,18,1
"2282",90,15,52,1
"2283",90,15,17,1
"2284",90,15,20,1
"2285",90,15,29,1
"2286",90,15,4,1
"2287",90,15,13,1
"2288",90,15,27,1
"2289",90,15,3,1
"2290",90,15,14,1
"2291",90,15,52,1
"2292",90,15,14,1
"2293",90,15,14,1
"2294",90,15,15,1
"2295",90,15,3,1
"2296",90,15,39,1
"2297",90,15,39,1
"2298",90,15,8,1
"2299",90,15,15,1
"2300",90,15,26,1
"2301",90,15,45,1
"2302",90,15,9,1
"2303",90,15,25,1
"2304",90,15,16,1
"2305",90,15,8,1
"2306",90,15,7,1
"2307",90,15,64,1
"2308",90,15,6,1
"2309",90,15,27,1
"2310",90,15,21,1
"2311",90,15,2,1
"2312",90,15,3,1
"2313",90,15,7,1
"2314",90,15,13,1
"2315",90,15,21,1
"2316",90,15,15,1
"2317",90,15,18,1
"2318",90,15,2,1
"2319",90,15,17,1
"2320",90,15,7,1
"2321",90,15,65,1
"2322",90,15,6,1
"2323",90,15,48,1
"2324",90,15,9,1
"2325",90,15,17,1
"2326",90,15,8,1
"2327",90,15,74,1
"2328",90,15,13,1
"2329",90,15,22,1
"2330",90,15,6,1
"2331",90,15,53,1
"2332",90,15,15,1
"2333",90,15,23,1
"2334",90,15,30,1
"2335",90,15,18,1
"2336",90,15,14,1
"2337",90,15,10,1
"2338",90,15,20,1
"2339",90,15,12,1
"2340",90,15,23,1
"2341",90,15,18,1
"2342",90,15,23,1
"2343",90,15,13,1
"2344",90,15,10,1
"2345",90,15,29,1
"2346",90,15,8,1
"2347",90,15,13,1
"2348",90,15,20,1
"2349",90,15,23,1
"2350",90,15,6,1
"2351",90,15,9,1
"2352",90,15,5,1
"2353",90,15,11,1
"2354",90,15,24,1
"2355",90,15,11,1
"2356",90,15,17,1
"2357",90,15,13,1
"2358",90,15,34,1
"2359",90,15,40,1
"2360",90,15,14,1
"2361",90,15,26,1
"2362",90,15,13,1
"2363",90,15,11,1
"2364",90,15,17,1
"2365",90,15,22,1
"2366",90,15,13,1
"2367",90,15,7,1
"2368",90,15,34,1
"2369",90,15,11,1
"2370",90,15,27,1
"2371",90,15,23,1
"2372",90,15,57,1
"2373",90,15,7,1
"2374",90,15,8,1
"2375",90,15,13,1
"2376",90,15,14,1
"2377",90,15,15,1
"2378",90,15,9,1
"2379",90,15,10,1
"2380",90,15,27,1
"2381",90,15,17,1
"2382",90,15,16,1
"2383",90,15,14,1
"2384",90,15,56,1
"2385",90,15,10,1
"2386",90,15,14,1
"2387",90,15,12,1
"2388",90,15,14,1
"2389",90,15,15,1
"2390",90,15,20,1
"2391",90,15,4,1
"2392",90,15,31,1
"2393",90,15,36,1
"2394",90,15,32,1
"2395",90,15,19,1
"2396",90,15,9,1
"2397",90,15,12,1
"2398",90,15,12,1
"2399",90,15,2,1
"2400",90,15,7,1
"2401",40,18,21,1
"2402",40,18,10,1
"2403",40,18,30,1
"2404",40,18,15,1
"2405",40,18,5,1
"2406",40,18,40,1
"2407",40,18,17,1
"2408",40,18,37,1
"2409",40,18,16,1
"2410",40,18,33,1
"2411",40,18,57,1
"2412",40,18,47,1
